caller_pc	caller_name	callee_pc	callee_name	callsite	type
0x03AB7C	warm_restart_gate_caller_a	0x03AD72	FUN_0003ad72		FUNCTION_CALL
0x03ABE2	FUN_0003abe2	0x03ACF4	FUN_0003acf4		FUNCTION_CALL
0x03ABE2	FUN_0003abe2	0x03AC04	FUN_0003ac04		FUNCTION_CALL
0x03ABE2	FUN_0003abe2	0x03AC8A	FUN_0003ac8a		FUNCTION_CALL
0x03AC04	FUN_0003ac04	0x03AE50	FUN_0003ae50		FUNCTION_CALL
0x03AC04	FUN_0003ac04	0x03C2E2	FUN_0003c2e2		FUNCTION_CALL
0x03AC04	FUN_0003ac04	0x03F084	FUN_0003f084		FUNCTION_CALL
0x03AC04	FUN_0003ac04	0x03A552	FUN_0003a552		FUNCTION_CALL
0x03ACAE	title_fg_glyph_producer_3acae	0x03A08C	FUN_0003a08c		FUNCTION_CALL
0x03ACF4	FUN_0003acf4	0x03A09A	FUN_0003a09a		FUNCTION_CALL
0x03AD72	FUN_0003ad72	0x03ADAA	FUN_0003adaa		FUNCTION_CALL
0x03AD72	FUN_0003ad72	0x05B512	FUN_0005b512		FUNCTION_CALL
0x03AD72	FUN_0003ad72	0x03AD44	FUN_0003ad44		FUNCTION_CALL
0x03AE64	FUN_0003ae64	0x03AD44	FUN_0003ad44		FUNCTION_CALL
0x03AE86	startup_common_body	0x03B8B0	FUN_0003b8b0		FUNCTION_CALL
0x03AE86	startup_common_body	0x03B9F8	FUN_0003b9f8		FUNCTION_CALL
0x03AE86	startup_common_body	0x000100	FUN_00000100		FUNCTION_CALL
0x03AE86	startup_common_body	0x03B098	FUN_0003b098		FUNCTION_CALL
0x03AE86	startup_common_body	0x05FFA2	FUN_0005ffa2		FUNCTION_CALL
0x03AE86	startup_common_body	0x03AD44	FUN_0003ad44		FUNCTION_CALL
0x03AE86	startup_common_body	0x03F084	FUN_0003f084		FUNCTION_CALL
0x03AE86	startup_common_body	0x03ADD8	FUN_0003add8		FUNCTION_CALL
0x03AE86	startup_common_body	0x05FFB2	FUN_0005ffb2		FUNCTION_CALL
0x03AE86	startup_common_body	0x03AE28	FUN_0003ae28		FUNCTION_CALL
0x03AE86	startup_common_body	0x03AD3C	FUN_0003ad3c		FUNCTION_CALL
0x03AE86	startup_common_body	0x03B0C2	FUN_0003b0c2		FUNCTION_CALL
0x03AE86	startup_common_body	0x03AD72	FUN_0003ad72		FUNCTION_CALL
0x03B084	warm_restart_gate_caller_b	0x039FA8	FUN_00039fa8		FUNCTION_CALL
0x03B098	FUN_0003b098	0x03C2E2	FUN_0003c2e2		FUNCTION_CALL
0x03B098	FUN_0003b098	0x03BB48	FUN_0003bb48		FUNCTION_CALL
0x03B098	FUN_0003b098	0x03A552	FUN_0003a552		FUNCTION_CALL
0x03B710	FUN_0003b710	0x03C2E2	FUN_0003c2e2		FUNCTION_CALL
0x03B802	pc090oj_sprite_producer_3b802	0x03B866	FUN_0003b866		FUNCTION_CALL
0x03B8B0	FUN_0003b8b0	0x03B902	FUN_0003b902		FUNCTION_CALL
0x03B8B0	FUN_0003b8b0	0x03B930	pc090oj_sprite_producer_3b930		FUNCTION_CALL
0x03B8B0	FUN_0003b8b0	0x03B802	pc090oj_sprite_producer_3b802		FUNCTION_CALL
0x03B902	FUN_0003b902	0x03B930	pc090oj_sprite_producer_3b930		FUNCTION_CALL
0x03B930	pc090oj_sprite_producer_3b930	0x05B512	FUN_0005b512		FUNCTION_CALL
0x03B9F8	FUN_0003b9f8	0x03BA64	FUN_0003ba64		FUNCTION_CALL
0x03BA20	FUN_0003ba20	0x03BA56	FUN_0003ba56		FUNCTION_CALL
0x03C516	FUN_0003c516	0x05B512	FUN_0005b512		FUNCTION_CALL
0x03C70A	FUN_0003c70a	0x05B512	FUN_0005b512		FUNCTION_CALL
0x03C85E	FUN_0003c85e	0x03C89A	FUN_0003c89a		FUNCTION_CALL
0x03C902	FUN_0003c902	0x03C8F6	FUN_0003c8f6		FUNCTION_CALL
0x03C902	FUN_0003c902	0x03C9E8	FUN_0003c9e8		FUNCTION_CALL
0x03C902	FUN_0003c902	0x03CA00	FUN_0003ca00		FUNCTION_CALL
0x03C902	FUN_0003c902	0x03CA12	FUN_0003ca12		FUNCTION_CALL
0x03C902	FUN_0003c902	0x03C9A6	FUN_0003c9a6		FUNCTION_CALL
0x03C9A6	FUN_0003c9a6	0x03C9E8	FUN_0003c9e8		FUNCTION_CALL
0x03C9A6	FUN_0003c9a6	0x03CA00	FUN_0003ca00		FUNCTION_CALL
0x03C9A6	FUN_0003c9a6	0x03CA12	FUN_0003ca12		FUNCTION_CALL
0x03CF52	FUN_0003cf52	0x03CFB0	FUN_0003cfb0		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C804	FUN_0003c804		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C85E	FUN_0003c85e		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C742	FUN_0003c742		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C606	FUN_0003c606		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03F0BC	FUN_0003f0bc		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C902	FUN_0003c902		FUNCTION_CALL
0x03D054	FUN_0003d054	0x04770E	FUN_0004770e		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C7D2	FUN_0003c7d2		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C6AC	FUN_0003c6ac		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C516	FUN_0003c516		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03FFDC	FUN_0003ffdc		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03C70A	FUN_0003c70a		FUNCTION_CALL
0x03D054	FUN_0003d054	0x03FFF0	FUN_0003fff0		FUNCTION_CALL
0x03F0BC	FUN_0003f0bc	0x03C902	FUN_0003c902		FUNCTION_CALL
0x03FFDC	FUN_0003ffdc	0x03C902	FUN_0003c902		FUNCTION_CALL
0x03FFF0	FUN_0003fff0	0x03C902	FUN_0003c902		FUNCTION_CALL
0x04092E	FUN_0004092e	0x03A2D0	FUN_0003a2d0		FUNCTION_CALL
0x041DAE	FUN_00041dae	0x03D054	FUN_0003d054		FUNCTION_CALL
0x041DAE	FUN_00041dae	0x041EDE	FUN_00041ede		FUNCTION_CALL
0x041F30	FUN_00041f30	0x041DAE	FUN_00041dae		FUNCTION_CALL
0x041F30	FUN_00041f30	0x047004	FUN_00047004		FUNCTION_CALL
0x041F30	FUN_00041f30	0x05988C	FUN_0005988c		FUNCTION_CALL
0x041F30	FUN_00041f30	0x059882	FUN_00059882		FUNCTION_CALL
0x041F30	FUN_00041f30	0x041F5E	FUN_00041f5e		FUNCTION_CALL
0x041F30	FUN_00041f30	0x045D72	FUN_00045d72		FUNCTION_CALL
0x041F30	FUN_00041f30	0x055AB4	FUN_00055ab4		FUNCTION_CALL
0x041F5E	FUN_00041f5e	0x041F7A	FUN_00041f7a		FUNCTION_CALL
0x042D20	FUN_00042d20	0x041D08	FUN_00041d08		FUNCTION_CALL
0x042E38	FUN_00042e38	0x03CF52	FUN_0003cf52		FUNCTION_CALL
0x042E38	FUN_00042e38	0x053A2E	FUN_00053a2e		FUNCTION_CALL
0x042E38	FUN_00042e38	0x0447F0	FUN_000447f0		FUNCTION_CALL
0x042E38	FUN_00042e38	0x03CF40	FUN_0003cf40		FUNCTION_CALL
0x0447F0	FUN_000447f0	0x0448B2	FUN_000448b2		FUNCTION_CALL
0x0448B2	FUN_000448b2	0x03A0EC	FUN_0003a0ec		FUNCTION_CALL
0x045342	FUN_00045342	0x0453C0	FUN_000453c0		FUNCTION_CALL
0x045342	FUN_00045342	0x03A0EC	FUN_0003a0ec		FUNCTION_CALL
0x045342	FUN_00045342	0x0453A2	FUN_000453a2		FUNCTION_CALL
0x0453A2	FUN_000453a2	0x04543E	FUN_0004543e		FUNCTION_CALL
0x04543E	FUN_0004543e	0x0453D6	FUN_000453d6		FUNCTION_CALL
0x045AA0	FUN_00045aa0	0x04543E	FUN_0004543e		FUNCTION_CALL
0x045AA0	FUN_00045aa0	0x045CFC	FUN_00045cfc		FUNCTION_CALL
0x045B18	FUN_00045b18	0x04092E	FUN_0004092e		FUNCTION_CALL
0x045B18	FUN_00045b18	0x04543E	FUN_0004543e		FUNCTION_CALL
0x045B18	FUN_00045b18	0x03A0EC	FUN_0003a0ec		FUNCTION_CALL
0x045B18	FUN_00045b18	0x045CFC	FUN_00045cfc		FUNCTION_CALL
0x045B18	FUN_00045b18	0x045BE8	FUN_00045be8		FUNCTION_CALL
0x045B18	FUN_00045b18	0x045CE0	FUN_00045ce0		FUNCTION_CALL
0x045CE0	FUN_00045ce0	0x04543E	FUN_0004543e		FUNCTION_CALL
0x045D10	FUN_00045d10	0x053A2E	FUN_00053a2e		FUNCTION_CALL
0x045D72	FUN_00045d72	0x045D7C	FUN_00045d7c		FUNCTION_CALL
0x045D72	FUN_00045d72	0x045DC4	FUN_00045dc4		FUNCTION_CALL
0x045D7C	FUN_00045d7c	0x03A2D0	FUN_0003a2d0		FUNCTION_CALL
0x045D7C	FUN_00045d7c	0x03BA20	FUN_0003ba20		FUNCTION_CALL
0x045DC4	FUN_00045dc4	0x03A2D0	FUN_0003a2d0		FUNCTION_CALL
0x045DFA	FUN_00045dfa	0x03D054	FUN_0003d054		FUNCTION_CALL
0x046790	FUN_00046790	0x045248	FUN_00045248		FUNCTION_CALL
0x047004	FUN_00047004	0x04703C	FUN_0004703c		FUNCTION_CALL
0x04703C	FUN_0004703c	0x047076	FUN_00047076		FUNCTION_CALL
0x04736A	FUN_0004736a	0x053A2E	FUN_00053a2e		FUNCTION_CALL
0x04736A	FUN_0004736a	0x0447F0	FUN_000447f0		FUNCTION_CALL
0x04770E	FUN_0004770e	0x03C902	FUN_0003c902		FUNCTION_CALL
0x04AF0A	FUN_0004af0a	0x046790	FUN_00046790		FUNCTION_CALL
0x04BBCA	FUN_0004bbca	0x04543E	FUN_0004543e		FUNCTION_CALL
0x04BBCA	FUN_0004bbca	0x045CFC	FUN_00045cfc		FUNCTION_CALL
0x0527D4	FUN_000527d4	0x05291E	FUN_0005291e		FUNCTION_CALL
0x0527D4	FUN_000527d4	0x052918	FUN_00052918		FUNCTION_CALL
0x0527D4	FUN_000527d4	0x05290C	FUN_0005290c		FUNCTION_CALL
0x0527D4	FUN_000527d4	0x052912	FUN_00052912		FUNCTION_CALL
0x052816	FUN_00052816	0x05283E	FUN_0005283e		FUNCTION_CALL
0x0528CA	FUN_000528ca	0x052924	FUN_00052924		FUNCTION_CALL
0x0528CA	FUN_000528ca	0x052938	FUN_00052938		FUNCTION_CALL
0x0528CA	FUN_000528ca	0x05294C	FUN_0005294c		FUNCTION_CALL
0x0528CA	FUN_000528ca	0x052960	FUN_00052960		FUNCTION_CALL
0x0529CC	FUN_000529cc	0x03A0EC	FUN_0003a0ec		FUNCTION_CALL
0x053A6E	FUN_00053a6e	0x053A2E	FUN_00053a2e		FUNCTION_CALL
0x053B34	FUN_00053b34	0x053DE4	FUN_00053de4		FUNCTION_CALL
0x053B34	FUN_00053b34	0x053DF2	FUN_00053df2		FUNCTION_CALL
0x053B34	FUN_00053b34	0x053E00	FUN_00053e00		FUNCTION_CALL
0x053B34	FUN_00053b34	0x053A2E	FUN_00053a2e		FUNCTION_CALL
0x053B34	FUN_00053b34	0x053DC8	FUN_00053dc8		FUNCTION_CALL
0x053B34	FUN_00053b34	0x053DD6	FUN_00053dd6		FUNCTION_CALL
0x0555B8	FUN_000555b8	0x055642	FUN_00055642		FUNCTION_CALL
0x0555B8	FUN_000555b8	0x03A0EC	FUN_0003a0ec		FUNCTION_CALL
0x05560C	FUN_0005560c	0x055642	FUN_00055642		FUNCTION_CALL
0x05560C	FUN_0005560c	0x03A0EC	FUN_0003a0ec		FUNCTION_CALL
0x05744E	FUN_0005744e	0x055AB4	FUN_00055ab4		FUNCTION_CALL
0x05744E	FUN_0005744e	0x05743C	FUN_0005743c		FUNCTION_CALL
0x05744E	FUN_0005744e	0x05A4DE	FUN_0005a4de		FUNCTION_CALL
0x0574A4	FUN_000574a4	0x05743C	FUN_0005743c		FUNCTION_CALL
0x0574A4	FUN_000574a4	0x05A4DE	FUN_0005a4de		FUNCTION_CALL
0x059882	FUN_00059882	0x0599B2	FUN_000599b2		FUNCTION_CALL
0x059882	FUN_00059882	0x059962	FUN_00059962		FUNCTION_CALL
0x05988C	FUN_0005988c	0x059AD4	FUN_00059ad4		FUNCTION_CALL
0x059962	FUN_00059962	0x059AD4	FUN_00059ad4		FUNCTION_CALL
0x0599B2	FUN_000599b2	0x059AD4	FUN_00059ad4		FUNCTION_CALL
